18+,Adult
AGES_18_,Adult
NC-17,Adult
R,Adult
TV-MA,Adult
7+,Kids
ALL,Kids
ALL_AGES,Kids
G,Kids
TV-G,Kids
TV-Y,Kids
16+,Older Kids
PG,Older Kids
TV-PG,Older Kids
TV-Y7,Older Kids
TV-Y7-FV,Older Kids
16,Teens
13+,Teens
AGES_16_,Teens
PG-13,Teens
TV-14,Teens
NOT RATED,Unrated
NOT_RATE,Unrated
NR,Unrated
TV-NR,Unrated
UNRATED,Unrated
UR,Unrated
